,album,artist,date,genre,label,score
123,Breakfast,The Samps,December 5 2018,Electronic,Gloriette,7.3
124,"Shiny and Oh So Bright, Vol. 1 / LP: No Past. No Future. No Sun.",The Smashing Pumpkins,November 19 2018,Rock,"Napalm,Martha's Music",3.4
125,Delta,Mumford & Sons,November 20 2018,Rock,"Gentlemen of the Road,Glassnote,Island",5.8
126,Sinner EP,Lil Tracy,November 20 2018,Rap,Self-released,6.0
127,Grapetooth,Grapetooth,November 21 2018,Rock,Polyvinyl,5.9
128,LillyAnna,teddy<3,November 21 2018,Pop/R&B,Whatever,6.8
129,Music Inspired by Illumination & Dr. Seuss’ The Grinch EP,"Tyler, the Creator",November 21 2018,Rap,Columbia,7.2
130,Caution,Mariah Carey,November 22 2018,Pop/R&B,Epic Records,7.5
131,Ghost Forests,"Meg Baird,Mary Lattimore",November 24 2018,"Folk/Country,Experimental",Three Lobed,7.4
132,The Fuzz EP,Ellis ,November 27 2018,Rock,Self-released,7.4
133,Love & Work: The Lioness Sessions,Songs: Ohia,November 23 2018,Rock,Secretly Canadian,8.7
134,Alienated,The Funs ,December 21 2018,Rock,Sister Polygon,7.2
135,Moriyama EP,Foodman,November 27 2018,Experimental,Palto Flats,7.5
136,Opening Fire: 2008-2014,Power Trip,December 22 2018,Metal,Dark Operative,7.7
137,Language,XXX,December 27 2018,Rap,BANA,7.3
138,Shugga Sextape Vol. 1,Ian Isiah,November 27 2018,Pop/R&B,UNO NYC,7.7
139,Distancing,Twist,December 20 2018,Rock,Buzz,7.2
140,Foxwarren,Foxwarren,December 26 2018,Rock,Anti-,7.3
141,Terminal,ZULI,November 28 2018,Electronic,UIQ,7.7
142,Daily Routine,Peder Mannerfelt,November 28 2018,Electronic,Peder Mannerfelt Produktion,7.9
143,I Am > I Was,21 Savage,January 2 2019,Rap,"Slaughter Gang,Epic",7.8
144,Live in Buenos Aires,Coldplay,December 13 2018,Rock,Parlophone,6.1
145,Skins,XXXTentacion,December 14 2018,Rap,"Bad Vibes Forever,EMPIRE",3.0
146,Vox Lux OST,"Scott Walker,Sia",December 21 2018,"Rock,Pop/R&B","Columbia,Three Six Zero",4.5
147,A Day In The Life: Impressions Of Pepper,,December 28 2018,,Verve,7.8
148,Signs of Satanic Youth,Magic Dirt,January 2 2019,Rock,"Emergency,Remote Control",7.2
149,"Some Kind of Cadwallader,Parrot Flies,Algernon Cadwallader","Algernon Cadwallader,Algernon Cadwallader,Algernon Cadwallader",December 29 2018,Rock,"Lauren,Asian Man,Lauren,Asian Man,Lauren,Asian Man","8.3,7.2,7.0"
150,Fever Focus EP,Jacques Greene,November 27 2018,Electronic,LuckyMe,7.7
151,Springsteen on Broadway,Bruce Springsteen,December 14 2018,Rock,Columbia,8.0
152,A Million and One,My Brightest Diamond,December 14 2018,Rock,Rhyme & Reason,7.0
153,Stokeley,Ski Mask the Slump God,December 15 2018,Rap,Republic,7.2
154,Let Go,Avril Lavigne,December 16 2018,Rock,Arista,6.6
